shared_ecoli_supercluster1_genes,shared_ecoli_supercluster2_genes
AGPAT2,ARSG
RPS20,RPS14
APRT,RPS20
MRPS12,RPL11
NME1,APRT
RPS14,RPL23
RPL23,
ABCF2,
APEX1,
ECH1,
PGP,
RPL11,
SHMT2,
IMPDH1,
TYMS,
GLO1,
