TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
b4502,b0743,,,b2493,b4370,,b4049,,b0945
b2605,b1231,,,b2494,b4372,,b3305,,b2399
b0987,b2268,,,b2497,b4375,,b0727,,b3084
b1014,b0345,,,b2505,b4388,,b2685,,b1230
b0553,b3165,,,b2508,b4409,,b3834,,b3403
b0946,b1969,,,b2510,b4417,,b1335,,b0459
b1233,b3154,,,b2517,b4426,,b0195,,b0652
b4542,b2954,,,b2519,b4438,,b1789,,b2944
b3175,b0884,,,b2526,b4439,,b2093,,b0434
b4640,b3096,,,b2527,b4447,,b0637,,b1798
b3083,b0423,,,b2528,b4450,,b1777,,b2288
b0557,b4166,,,b2529,b4451,,b0208,,b1839
b3775,b1055,,,b2530,b4462,,b0653,,b2461
b4109,b3703,,,b2531,b4465,,b4077,,b1633
b1163,b4147,,,b2534,b4466,,b0809,,b2904
b2524,b1126,,,b2537,b4467,,b1174,,b0316
b1061,b3662,,,b2539,b4468,,b1281,,b0238
b1339,b4043,,,b2540,b4469,,b2583,,b0748
b1892,b1856,,,b2541,b4470,,b3309,,b1216
b4110,b3633,,,b2542,b4471,,b1778,,b2459
b1284,b1914,,,b2544,b4476,,b1655,,b3717
b2175,b1811,,,b2545,b4482,,b2279,,b0783
b1841,b0143,,,b2546,b4486,,b1035,,b3646
b0170,b1848,,,b2547,b4491,,b0196,,b3645
b0685,b0859,,,b2548,b4492,,b0122,,b3891
b3127,b0405,,,b2549,b4495,,b0190,,b0225
b3964,b1767,,,b2550,b4499,,b2935,,b3299
b1232,b2066,,,b2554,b4500,,b3186,,b2460
b4340,b3188,,,b2555,b4536,,b2844,,b2562
b2603,b0815,,,b2558,b4537,,b2796,,b4049
b1407,b1132,,,b2559,b4556,,b1636,,b4484
b0689,b1707,,,b2561,b4559,,b1632,,b3305
b0164,b3637,,,b2565,b4576,,b1859,,b1789
b4055,b2370,,,b2569,b4580,,b2949,,b1777
b3185,b2700,,,b2571,b4597,,b0766,,b0653
b4573,b3229,,,b2574,b4598,,b4216,,b4077
b1530,b0961,,,b2575,b4599,,b0529,,b1174
b0432,b0433,,,b2577,b4600,,b3752,,b1281
b0724,b2321,,,b2581,b4611,,b4001,,b0142
b3301,b2114,,,b2582,b4613,,b4687,,b1655
b0023,b0931,,,b2600,b4618,,b1840,,b0190
b3308,b0526,,,b2601,b4621,,b3649,,b3186
b4017,b1524,,,b2617,b4623,,b1134,,b2844
b4342,b3741,,,b2626,b4625,,b1540,,b2796
b0723,b1626,,,b2629,b4629,,b3742,,b1636
b1584,b3648,,,b2632,b4631,,b3962,,b1632
b1988,b3821,,,b2634,b4635,,b4624,,b2949
b4595,b3228,,,b2638,b4638,,b0686,,b0766
b4440,b1804,,,b2641,b4645,,b0415,,b3219
b1583,b2948,,,b2644,b4646,,b2286,,b4001
b2684,b0383,,,b2647,b4653,,b0431,,b1840
b0782,b4021,,,b2648,b4657,,b3731,,b3649
b1023,b3641,,,b2650,b4659,,b3750,,b0258
b3171,b2231,,,b2678,b4680,,b2902,,b0281
b1631,b0618,,,b2679,b4693,,b1186,,b1540
b1891,b4674,,,b2686,b4702,,b4089,,b3742
b4337,b0114,,,b2695,b0991,,b3974,,b0460
b3065,b0820,,,b2698,b1797,,b1763,,b0431
b0945,b0875,,,b2699,b2207,,b0675,,b3731
b2399,b3066,,,b2702,b3121,,b1269,,b1186
b3084,b3231,,,b2703,b0990,,b3150,,b4089
b1230,b0898,,,b2709,b4517,,b1582,,b3974
b3403,b3574,,,b2710,b1674,,b3783,,b1269
b0459,b3321,,,b2711,b1474,,b1212,,b1582
b0652,b1657,,,b2712,b0301,,b0654,,b3783
b2944,b1501,,,b2713,b2402,,b0598,,b4551
b0434,b2211,,,b2714,b1551,,b3643,,b1212
b1798,b2009,,,b2715,b2878,,b1117,,b3966
b2288,b0958,,,b2716,b2667,,b3892,,b0654
b1839,b2616,,,b2721,b3117,,b2065,,b2623
b2461,b2614,,,b2722,b2871,,b2905,,b3643
b1633,b1363,,,b2723,b2870,,b2975,,b0262
b2904,b1550,,,b2724,b0137,,b3711,,b2905
b0316,b4312,,,b2725,b0929,,b1295,,b3411
b0238,b3181,,,b2736,b1905,,b1422,,b2975
b0748,b3714,,,b2737,b2208,,b3779,,b1295
b1216,b4050,,,b2738,b4036,,b2457,,b1422
b2459,b2313,,,b2740,b3704,,b2171,,b3779
b3717,b4026,,,b2747,b2668,,b1175,,b2457
b0783,b1253,,,b2753,b2879,,b3894,,b2171
b3646,b3816,,,b2754,b0721,,b0799,,b1015
b3645,b1436,,,b2755,b1475,,b2532,,b3397
b3891,b1184,,,b2756,b0263,,b0420,,b2503
b0225,b3635,,,b2757,b4566,,b1015,,b4298
b3299,b1144,,,b2758,b3115,,b3397,,b0430
b2460,b1559,,,b2759,b1557,,b1467,,b3737
b2562,b4131,,,b2760,b4032,,b0430,,b3606
b4049,b0509,,,b2765,b4307,,b2125,,b4053
b4484,b1457,,,b2769,b4037,,b1105,,b3735
b3305,b1785,,,b2770,b0574,,b3737,,b1133
b1789,b2060,,,b2775,b3116,,b3307,,b4373
b1777,b1060,,,b2776,b3707,,b1468,,b1630
b0653,b2671,,,b2778,b0722,,b3606,,b1418
b4077,b4254,,,b2781,b2888,,b3735,,b3839
b1174,b4142,,,b2803,b2693,,b3017,,b0474
b1281,b1165,,,b2806,b2789,,b2200,,b2525
b0142,b4660,,,b2807,b2669,,b1133,,b3180
b1655,b1951,,,b2810,b4306,,b4373,,b1329
b0190,b4567,,,b2811,b2734,,b1630,,b1731
b3186,,,,b2813,b4035,,b1418,,b3459
b2844,,,,b2816,b1821,,b1960,,b2533
b2796,,,,b2817,b4557,,b3839,,b3349
b1636,,,,b2818,b4345,,b2442,,b1786
b1632,,,,b2831,b3636,,b0474,,b3672
b2949,,,,b2832,b1558,,b2092,,b3935
b0766,,,,b2835,b3126,,b3499,,b2570
b3219,,,,b2838,b0305,,b3749,,b3743
b4001,,,,b2839,b3710,,b0503,,b1628
b1840,,,,b2841,b2875,,b2525,,b4690
b3649,,,,b2842,b1915,,b3180,,b3734
b0258,,,,b2843,b0063,,b1329,,b3220
b0281,,,,b2856,b3708,,b1727,,b1177
b1540,,,,b2858,b3476,,b1222,,b1231
b3742,,,,b2863,b0372,,b3459,,b2256
b0460,,,,b2864,b4523,,b2533,,b0345
b0431,,,,b2865,b4502,,b0422,,b3165
b3731,,,,b2873,b0987,,b4558,,b2954
b1186,,,,b2874,b1014,,b3349,,b1432
b4089,,,,b2881,b2876,,b1786,,b0884
b3974,,,,b2882,b0946,,b3672,,b3096
b1269,,,,b2883,b2996,,b2744,,b0423
b1582,,,,b2886,b3175,,b2570,,b0101
b3783,,,,b2887,b4640,,b3743,,b1055
b4551,,,,b2892,b3083,,b1245,,b3703
b1212,,,,b2894,b1531,,b3546,,b3294
b3966,,,,b2911,b0557,,b1807,,b1126
b0654,,,,b2912,b3775,,b1628,,b3662
b2623,,,,b2915,b2518,,b2284,,b4043
b3643,,,,b2917,b4483,,b3081,,b3638
b0262,,,,b2918,b2766,,b4371,,b1162
b2905,,,,b2919,b4109,,b3734,,b3732
b3411,,,,b2920,b3263,,b0743,,b2536
b2975,,,,b2921,b1061,,b2268,,b3633
b1295,,,,b2923,b2801,,b2264,,b3963
b1422,,,,b2930,b1892,,b1084,,b3225
b3779,,,,b2933,b4034,,b2124,,b0143
b2457,,,,b2939,b1922,,b2954,,b0440
b2171,,,,b2940,b2872,,b3031,,b2928
b1015,,,,b2945,b4110,,b3345,,b3640
b3397,,,,b2950,b1581,,b2619,,b0859
b2503,,,,b2956,b0636,,b0884,,b1787
b4298,,,,b2957,b2175,,b3096,,b0405
b0430,,,,b2960,b2798,,b0050,,b3303
b3737,,,,b2963,b2788,,b3751,,b1767
b3606,,,,b2965,b0685,,b1650,,b2066
b4053,,,,b2969,b3709,,b0423,,b3188
b3735,,,,b2970,b3127,,b0101,,b0815
b1133,,,,b2971,b3964,,b1055,,b1104
b4373,,,,b2972,b2768,,b3703,,b1132
b1630,,,,b2980,b4340,,b4147,,b0391
b1418,,,,b2981,b2603,,b0158,,b0130
b3839,,,,b2982,b1407,,b3294,,b3733
b0474,,,,b2983,b0689,,b0679,,b1707
b2525,,,,b2984,b0164,,b1126,,b0443
b3180,,,,b2985,b3185,,b3638,,b3637
b1329,,,,b2986,b1137,,b1856,,b1534
b1731,,,,b2987,b1530,,b0655,,b0537
b3459,,,,b2990,b0781,,b1162,,b2700
b2533,,,,b2991,b0432,,b3732,,b4148
b3349,,,,b2992,b2880,,b2536,,b2321
b1786,,,,b2993,b3114,,b3633,,b4024
b3672,,,,b2994,b0062,,b3843,,b0931
b3935,,,,b3002,b1532,,b1709,,b0526
b2570,,,,b3010,b0763,,b3098,,b1524
b3743,,,,b3014,b1673,,b2276,,b3986
b1628,,,,b3018,b0023,,b3225,,b0785
b4690,,,,b3019,b4017,,b1215,,b2472
b3734,,,,b3021,b4342,,b1811,,b2566
b3220,,,,b3022,b4440,,b0143,,b0493
b1177,,,,b3025,b4346,,b1719,,b3310
b1231,,,,b3026,b2684,,b0811,,b3741
b2256,,,,b3027,b1023,,b0764,,b1626
b0345,,,,b3030,b2977,,b3640,,b3648
