TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
,,,,b4081,b1165,,,,b2577
,,,,b4082,b0821,,,,b2600
,,,,b4083,b4606,,,,b2601
,,,,b4084,b1951,,,,b2611
,,,,b4086,b3994,,,,b2626
,,,,b4087,,,,,b2648
,,,,b4090,,,,,b2650
,,,,b4095,,,,,b2686
,,,,b4097,,,,,b2701
,,,,b4102,,,,,b2775
,,,,b4104,,,,,b2778
,,,,b4105,,,,,b2791
,,,,b4106,,,,,b2816
,,,,b4111,,,,,b2827
,,,,b4130,,,,,b2828
,,,,b4132,,,,,b2829
,,,,b4141,,,,,b2847
,,,,b4145,,,,,b2873
,,,,b4155,,,,,b2882
,,,,b4156,,,,,b2969
,,,,b4157,,,,,b2970
,,,,b4158,,,,,b2992
,,,,b4181,,,,,b2993
,,,,b4182,,,,,b2994
,,,,b4183,,,,,b3055
,,,,b4184,,,,,b3061
,,,,b4185,,,,,b3095
,,,,b4186,,,,,b3110
,,,,b4191,,,,,b3143
,,,,b4193,,,,,b3262
,,,,b4198,,,,,b3264
,,,,b4204,,,,,b3265
,,,,b4208,,,,,b3347
,,,,b4210,,,,,b3363
,,,,b4215,,,,,b3471
,,,,b4224,,,,,b3493
,,,,b4225,,,,,b3527
,,,,b4240,,,,,b3552
,,,,b4242,,,,,b3585
,,,,b4249,,,,,b3589
,,,,b4257,,,,,b3595
,,,,b4262,,,,,b3618
,,,,b4264,,,,,b3639
,,,,b4265,,,,,b3642
,,,,b4266,,,,,b3683
,,,,b4267,,,,,b3690
,,,,b4268,,,,,b3718
,,,,b4270,,,,,b3722
,,,,b4271,,,,,b3723
,,,,b4272,,,,,b3822
,,,,b4273,,,,,b3825
,,,,b4277,,,,,b3832
,,,,b4278,,,,,b3833
,,,,b4281,,,,,b3835
,,,,b4282,,,,,b3865
,,,,b4284,,,,,b3878
,,,,b4286,,,,,b3897
,,,,b4294,,,,,b3909
,,,,b4295,,,,,b3944
,,,,b4296,,,,,b3977
,,,,b4297,,,,,b4023
,,,,b4299,,,,,b4028
,,,,b4305,,,,,b4038
,,,,b4308,,,,,b4048
,,,,b4309,,,,,b4058
,,,,b4310,,,,,b4074
,,,,b4311,,,,,b4076
,,,,b4313,,,,,b4083
,,,,b4317,,,,,b4086
,,,,b4318,,,,,b4087
,,,,b4319,,,,,b4095
,,,,b4320,,,,,b4102
,,,,b4321,,,,,b4105
,,,,b4322,,,,,b4106
,,,,b4323,,,,,b4132
,,,,b4324,,,,,b4133
,,,,b4325,,,,,b4150
,,,,b4327,,,,,b4155
,,,,b4328,,,,,b4156
,,,,b4332,,,,,b4183
,,,,b4333,,,,,b4232
,,,,b4339,,,,,b4233
,,,,b4341,,,,,b4268
,,,,b4347,,,,,b4277
,,,,b4351,,,,,b4278
,,,,b4355,,,,,b4358
,,,,b4356,,,,,b4365
,,,,b4358,,,,,b4368
,,,,b4364,,,,,b4470
,,,,b4365,,,,,b4482
,,,,b4366,,,,,b4494
,,,,b4368,,,,,b4495
,,,,b4370,,,,,b4500
,,,,b4372,,,,,b4598
,,,,b4388,,,,,b4618
,,,,b4394,,,,,b4630
,,,,b4397,,,,,b4637
,,,,b4398,,,,,b4642
,,,,b4399,,,,,b4668
,,,,b4413,,,,,b4670
,,,,b4415,,,,,b4671
,,,,b4417,,,,,b4680
,,,,b4418,,,,,b4693
,,,,b4426,,,,,b4714
,,,,b4427,,,,,b1674
,,,,b4431,,,,,b1905
,,,,b4435,,,,,b0844
,,,,b4437,,,,,b0574
,,,,b4438,,,,,b2888
,,,,b4447,,,,,b2693
,,,,b4453,,,,,b2789
,,,,b4454,,,,,b2669
,,,,b4458,,,,,b2734
,,,,b4462,,,,,b3051
,,,,b4463,,,,,b4345
,,,,b4464,,,,,b0843
,,,,b4465,,,,,b1857
,,,,b4466,,,,,b3050
,,,,b4469,,,,,b1580
,,,,b4470,,,,,b1531
,,,,b4473,,,,,b2518
,,,,b4474,,,,,b4483
,,,,b4475,,,,,b3263
,,,,b4476,,,,,b2801
,,,,b4482,,,,,b1581
,,,,b4486,,,,,b0636
,,,,b4488,,,,,b2435
,,,,b4491,,,,,b0873
,,,,b4492,,,,,b0416
,,,,b4494,,,,,b1137
,,,,b4495,,,,,b0781
,,,,b4497,,,,,b0763
,,,,b4499,,,,,b1673
,,,,b4500,,,,,b2436
,,,,b4501,,,,,b2151
,,,,b4503,,,,,b1959
,,,,b4508,,,,,b2102
,,,,b4516,,,,,b1243
,,,,b4519,,,,,b2681
,,,,b4520,,,,,b1643
,,,,b4521,,,,,b2101
,,,,b4527,,,,,b0512
,,,,b4536,,,,,b1762
,,,,b4537,,,,,b1498
,,,,b4539,,,,,b2685
,,,,b4541,,,,,b3834
,,,,b4556,,,,,b1335
,,,,b4559,,,,,b0195
,,,,b4572,,,,,b0637
,,,,b4576,,,,,b2583
,,,,b4578,,,,,b1859
,,,,b4579,,,,,b2576
,,,,b4580,,,,,b0529
,,,,b4587,,,,,b4123
,,,,b4590,,,,,b0415
,,,,b4597,,,,,b3711
,,,,b4599,,,,,b2604
,,,,b4600,,,,,b0799
,,,,b4602,,,,,b1741
,,,,b4611,,,,,b2200
,,,,b4613,,,,,b0503
,,,,b4618,,,,,b1135
,,,,b4623,,,,,b3546
,,,,b4625,,,,,b1807
,,,,b4629,,,,,b2496
,,,,b4630,,,,,b4371
,,,,b4631,,,,,b0743
,,,,b4632,,,,,b2268
,,,,b4635,,,,,b1969
,,,,b4639,,,,,b3154
,,,,b4641,,,,,b4166
,,,,b4642,,,,,b4147
,,,,b4643,,,,,b1856
,,,,b4644,,,,,b1914
,,,,b4645,,,,,b1811
,,,,b4646,,,,,b1848
,,,,b4648,,,,,b2370
,,,,b4649,,,,,b3229
,,,,b4653,,,,,b0961
,,,,b4655,,,,,b0433
,,,,b4657,,,,,b2114
,,,,b4661,,,,,b3228
,,,,b4665,,,,,b2231
,,,,b4668,,,,,b0618
,,,,b4670,,,,,b0114
,,,,b4671,,,,,b0820
,,,,b4672,,,,,b0898
,,,,b4675,,,,,b3574
,,,,b4680,,,,,b1657
,,,,b4693,,,,,b1363
,,,,b4694,,,,,b2313
,,,,b4699,,,,,b4026
,,,,b4703,,,,,b1436
,,,,b4705,,,,,b1184
,,,,b4713,,,,,b3635
,,,,b4714,,,,,b1144
,,,,b3854,,,,,b0509
,,,,b0991,,,,,b1785
,,,,b1073,,,,,b2060
,,,,b1797,,,,,b1060
,,,,b1946,,,,,b2671
,,,,b0990,,,,,b4254
,,,,b4517,,,,,b4142
,,,,b1674,,,,,b1951
,,,,b0301,,,,,b0097
,,,,b2402,,,,,b0175
,,,,b1074,,,,,b0214
,,,,b1796,,,,,b0421
,,,,b2667,,,,,b0465
,,,,b2871,,,,,b0470
,,,,b0137,,,,,b0472
,,,,b2379,,,,,b0495
,,,,b1905,,,,,b0496
,,,,b0450,,,,,b0569
,,,,b3704,,,,,b0571
,,,,b2668,,,,,b0635
,,,,b0721,,,,,b0774
,,,,b0263,,,,,b0817
,,,,b4566,,,,,b0822
,,,,b4667,,,,,b0847
,,,,b4307,,,,,b0914
,,,,b0574,,,,,b0915
,,,,b0722,,,,,b0926
,,,,b2289,,,,,b0927
,,,,b2888,,,,,b1112
,,,,b2789,,,,,b1255
,,,,b2669,,,,,b1266
,,,,b4306,,,,,b1298
,,,,b2734,,,,,b1588
,,,,b3051,,,,,b1733
,,,,b0306,,,,,b1829
,,,,b4432,,,,,b1849
,,,,b1821,,,,,b1876
,,,,b1075,,,,,b1962
,,,,b0233,,,,,b1973
,,,,b0342,,,,,b2069
,,,,b1558,,,,,b2153
,,,,b3050,,,,,b2183
,,,,b0305,,,,,b2188
,,,,b1580,,,,,b2312
,,,,b2875,,,,,b2469
,,,,b1915,,,,,b2519
,,,,b0372,,,,,b2528
,,,,b4502,,,,,b2529
,,,,b0987,,,,,b2550
,,,,b1014,,,,,b2995
,,,,b0946,,,,,b3155
,,,,b3175,,,,,b3195
,,,,b4640,,,,,b3197
,,,,b3083,,,,,b3235
,,,,b1531,,,,,b3238
,,,,b0557,,,,,b3241
,,,,b3775,,,,,b3243
,,,,b2518,,,,,b3289
,,,,b2082,,,,,b3346
,,,,b4483,,,,,b3351
,,,,b2766,,,,,b3352
,,,,b4109,,,,,b3461
,,,,b2524,,,,,b3650
,,,,b1061,,,,,b3712
,,,,b2801,,,,,b3744
,,,,b1938,,,,,b3754
,,,,b1892,,,,,b3755
,,,,b1922,,,,,b3809
,,,,b2872,,,,,b4111
,,,,b4110,,,,,b4361
,,,,b1581,,,,,b4364
,,,,b0636,,,,,b0528
,,,,b1284,,,,,b0845
,,,,b2435,,,,,b2997
,,,,b2798,,,,,b2996
,,,,b1841,,,,,b3075
,,,,b1945,,,,,b3709
,,,,b2788,,,,,b1816
,,,,b0685,,,,,b3344
,,,,b3964,,,,,b1685
,,,,b2428,,,,,b1858
,,,,b4340,,,,,b2172
,,,,b2603,,,,,b1794
,,,,b1407,,,,,b3893
,,,,b0689,,,,,b4498
,,,,b0164,,,,,b0196
,,,,b3185,,,,,b2369
,,,,b4573,,,,,b1134
,,,,b1530,,,,,b3962
,,,,b4088,,,,,b1763
,,,,b4585,,,,,b1117
,,,,b1532,,,,,b3892
,,,,b0763,,,,,b3894
,,,,b1673,,,,,b0464
,,,,b3301,,,,,b3307
,,,,b4017,,,,,b1191
,,,,b4342,,,,,b2181
,,,,b1988,,,,,b1960
,,,,b4440,,,,,b0387
,,,,b2684,,,,,b1332
,,,,b1023,,,,,b1522
,,,,b2436,,,,,b4331
,,,,b1891,,,,,b3651
,,,,b4337,,,,,b3345
,,,,b2151,,,,,b1053
,,,,b3092,,,,,b0158
,,,,b0715,,,,,b3038
,,,,b0945,,,,,b1210
,,,,b2802,,,,,b0477
,,,,b2399,,,,,b1607
,,,,b3084,,,,,b3258
,,,,b1230,,,,,b3464
,,,,b1959,,,,,b0819
,,,,b0459,,,,,b1608
,,,,b0307,,,,,b1090
,,,,b2944,,,,,b0877
,,,,b1798,,,,,b0461
,,,,b2325,,,,,b4030
,,,,b2102,,,,,b3203
,,,,b1839,,,,,b0776
,,,,b2677,,,,,b0775
,,,,b3311,,,,,b4487
,,,,b2782,,,,,b0116
,,,,b2172,,,,,b0313
,,,,b1077,,,,,b0452
,,,,b2681,,,,,b0921
,,,,b0316,,,,,b1299
,,,,b1643,,,,,b1307
,,,,b2073,,,,,b1308
,,,,b2101,,,,,b1445
,,,,b0238,,,,,b1704
,,,,b1216,,,,,b1842
,,,,b0744,,,,,b2014
,,,,b0512,,,,,b2393
,,,,b3717,,,,,b2456
,,,,b1762,,,,,b2582
,,,,b3646,,,,,b2874
,,,,b0225,,,,,b2883
,,,,b2562,,,,,b2980
,,,,b4049,,,,,b3035
,,,,b4484,,,,,b3088
,,,,b2866,,,,,b3664
,,,,b2685,,,,,b4417
,,,,b1789,,,,,b4437
,,,,b0637,,,,,b2878
,,,,b3492,,,,,b2871
,,,,b4077,,,,,b2870
,,,,b1281,,,,,b2879
,,,,b2583,,,,,b0280
,,,,b1655,,,,,b4523
,,,,b4256,,,,,b2876
,,,,b3020,,,,,b2872
,,,,b2844,,,,,b4088
,,,,b0308,,,,,b2880
,,,,b0766,,,,,b1532
,,,,b3219,,,,,b4687
,,,,b4001,,,,,b2154
,,,,b4687,,,,,b1727
,,,,b1840,,,,,b1245
,,,,b4123,,,,,b1719
,,,,b3649,,,,,b1247
,,,,b0258,,,,,b1244
,,,,b0281,,,,,b0428
,,,,b1540,,,,,b1246
,,,,b0460,,,,,b2176
,,,,b4624,,,,,b1187
,,,,b1186,,,,,b0891
,,,,b1269,,,,,b3502
,,,,b1582,,,,,b3034
,,,,b3783,,,,,b3501
,,,,b1212,,,,,b1305
,,,,b2623,,,,,b0821
,,,,b3643,,,,,b0141
,,,,b0262,,,,,b0188
,,,,b2065,,,,,b0210
,,,,b2783,,,,,b0272
,,,,b2975,,,,,b0363
,,,,b1295,,,,,b0603
,,,,b1422,,,,,b0619
,,,,b2171,,,,,b0674
,,,,b1434,,,,,b0745
,,,,b1015,,,,,b0746
,,,,b1741,,,,,b0747
,,,,b3397,,,,,b0765
,,,,b2503,,,,,b0772
,,,,b4298,,,,,b0787
,,,,b0479,,,,,b0794
,,,,b3606,,,,,b0796
,,,,b4053,,,,,b0807
,,,,b3017,,,,,b0834
,,,,b2181,,,,,b0848
,,,,b4373,,,,,b0858
,,,,b1630,,,,,b0868
,,,,b1418,,,,,b0883
,,,,b1960,,,,,b0967
,,,,b1621,,,,,b1012
,,,,b1329,,,,,b1059
,,,,b1731,,,,,b1079
,,,,b1328,,,,,b1082
,,,,b3459,,,,,b1096
,,,,b2533,,,,,b1097
,,,,b1737,,,,,b1099
,,,,b2429,,,,,b1171
,,,,b0850,,,,,b1194
,,,,b1786,,,,,b1201
,,,,b3935,,,,,b1249
,,,,b2570,,,,,b1365
,,,,b3743,,,,,b1503
,,,,b1332,,,,,b1605
,,,,b1522,,,,,b1649
,,,,b1628,,,,,b1690
,,,,b4690,,,,,b1711
,,,,b2468,,,,,b1714
,,,,b4371,,,,,b1760
,,,,b3220,,,,,b1775
,,,,b1177,,,,,b1776
,,,,b1231,,,,,b1881
,,,,b2256,,,,,b1883
,,,,b0345,,,,,b1884
,,,,b1969,,,,,b1885
,,,,b3154,,,,,b1886
,,,,b4429,,,,,b1887
,,,,b1650,,,,,b1888
,,,,b1620,,,,,b1890
,,,,b0423,,,,,b1925
,,,,b1053,,,,,b1972
,,,,b1126,,,,,b2048
,,,,b3662,,,,,b2118
,,,,b1162,,,,,b2149
,,,,b2536,,,,,b2173
,,,,b1914,,,,,b2182
,,,,b3225,,,,,b2229
,,,,b0143,,,,,b2230
,,,,b3800,,,,,b2253
,,,,b0764,,,,,b2299
,,,,b1848,,,,,b2310
,,,,b0859,,,,,b2319
,,,,b0405,,,,,b2342
,,,,b3188,,,,,b2372
,,,,b0815,,,,,b2373
,,,,b1850,,,,,b2412
,,,,b1210,,,,,b2419
,,,,b0130,,,,,b2451
,,,,b0269,,,,,b2453
,,,,b1707,,,,,b2505
,,,,b4117,,,,,b2569
,,,,b1607,,,,,b2709
,,,,b2321,,,,,b2714
,,,,b4024,,,,,b2737
,,,,b1524,,,,,b2738
,,,,b2472,,,,,b2803
,,,,b2566,,,,,b2806
,,,,b3741,,,,,b2807
,,,,b1626,,,,,b2810
,,,,b3821,,,,,b2864
,,,,b0732,,,,,b2957
,,,,b1804,,,,,b3018
,,,,b3705,,,,,b3027
,,,,b0383,,,,,b3064
,,,,b1863,,,,,b3078
,,,,b0246,,,,,b3080
,,,,b0618,,,,,b3086
,,,,b1569,,,,,b3113
,,,,b1666,,,,,b3145
,,,,b2361,,,,,b3151
,,,,b4608,,,,,b3177
,,,,b4614,,,,,b3227
,,,,b4698,,,,,b3269
,,,,b4701,,,,,b3331
,,,,b0820,,,,,b3332
,,,,b0875,,,,,b3359
,,,,b3066,,,,,b3412
,,,,b3178,,,,,b3454
,,,,b0240,,,,,b3455
,,,,b3462,,,,,b3456
,,,,b1083,,,,,b3457
,,,,b4222,,,,,b3458
,,,,b0273,,,,,b3525
,,,,b3258,,,,,b3561
,,,,b2556,,,,,b3569
,,,,b3464,,,,,b3586
,,,,b0449,,,,,b3652
,,,,b2340,,,,,b3658
,,,,b1145,,,,,b3665
,,,,b4385,,,,,b3677
,,,,b0221,,,,,b3679
,,,,b3398,,,,,b3684
,,,,b0950,,,,,b3685
,,,,b3792,,,,,b3691
,,,,b0176,,,,,b3801
,,,,b0898,,,,,b3820
,,,,b2808,,,,,b3846
,,,,b0497,,,,,b3877
,,,,b0402,,,,,b3884
,,,,b0819,,,,,b3980
,,,,b1608,,,,,b4027
,,,,b0067,,,,,b4084
,,,,b2538,,,,,b4185
,,,,b1528,,,,,b4186
,,,,b1090,,,,,b4198
,,,,b3574,,,,,b4240
,,,,b3502,,,,,b4266
,,,,b1657,,,,,b4267
,,,,b1805,,,,,b4321
,,,,b3067,,,,,b4323
,,,,b2075,,,,,b4332
,,,,b0514,,,,,b4355
,,,,b1013,,,,,b4388
,,,,b2812,,,,,b4426
,,,,b0842,,,,,b4438
,,,,b0399,,,,,b4466
,,,,b4261,,,,,b4559
,,,,b0877,,,,,b4597
,,,,b2512,,,,,b4599
,,,,b1907,,,,,b4635
,,,,b1501,,,,,b4653
,,,,b2211,,,,,b1073
,,,,b0933,,,,,b1797
,,,,b4121,,,,,b1946
,,,,b2015,,,,,b1074
,,,,b1091,,,,,b1796
,,,,b0314,,,,,b0450
,,,,b0958,,,,,b0263
,,,,b2616,,,,,b4667
,,,,b3184,,,,,b0306
,,,,b2104,,,,,b4432
,,,,b0461,,,,,b1821
,,,,b2103,,,,,b1075
,,,,b1363,,,,,b0342
,,,,b3907,,,,,b2875
,,,,b3667,,,,,b2082
,,,,b3728,,,,,b2766
,,,,b0396,,,,,b1938
,,,,b2511,,,,,b1922
,,,,b0385,,,,,b2798
,,,,b4312,,,,,b1945
,,,,b0795,,,,,b2788
,,,,b1992,,,,,b2428
,,,,b0010,,,,,b4585
,,,,b4030,,,,,b3092
,,,,b0287,,,,,b0715
,,,,b3727,,,,,b2802
,,,,b0355,,,,,b0307
,,,,b3714,,,,,b2325
,,,,b3726,,,,,b2677
,,,,b4029,,,,,b3311
,,,,b3883,,,,,b2782
,,,,b2840,,,,,b1077
,,,,b1248,,,,,b2073
,,,,b1985,,,,,b0744
,,,,b3748,,,,,b2866
,,,,b4050,,,,,b3492
,,,,b4292,,,,,b4256
,,,,b2968,,,,,b3020
,,,,b0793,,,,,b0308
,,,,b3071,,,,,b4624
,,,,b4456,,,,,b2065
,,,,b4192,,,,,b2783
,,,,b2506,,,,,b1434
,,,,b3183,,,,,b0479
,,,,b3501,,,,,b3017
,,,,b2572,,,,,b1621
,,,,b3070,,,,,b1328
,,,,b1253,,,,,b1737
,,,,b2218,,,,,b2429
,,,,b1181,,,,,b0850
,,,,b3173,,,,,b2468
,,,,b4197,,,,,b4429
,,,,b1916,,,,,b1650
,,,,b1806,,,,,b1620
,,,,b3816,,,,,b3800
,,,,b2943,,,,,b0764
,,,,b1436,,,,,b1850
,,,,b4400,,,,,b0269
,,,,b0132,,,,,b4117
,,,,b2771,,,,,b0732
,,,,b2578,,,,,b1666
,,,,b1184,,,,,b4614
,,,,b2250,,,,,b4385
,,,,b0971,,,,,b0221
,,,,b1463,,,,,b0176
,,,,b0592,,,,,b0067
,,,,b4253,,,,,b1805
,,,,b2239,,,,,b0514
,,,,b4212,,,,,b0842
,,,,b3635,,,,,b1907
,,,,b1559,,,,,b2104
,,,,b3958,,,,,b2103
,,,,b0153,,,,,b3728
,,,,b4031,,,,,b0795
,,,,b4131,,,,,b3727
,,,,b4570,,,,,b3726
,,,,b1452,,,,,b4029
,,,,b4446,,,,,b3748
,,,,b1252,,,,,b4456
,,,,b3271,,,,,b2506
,,,,b4553,,,,,b2572
,,,,b4696,,,,,b3173
,,,,b1574,,,,,b1916
,,,,b3460,,,,,b2943
,,,,b0530,,,,,b2250
,,,,b1305,,,,,b0971
,,,,b2573,,,,,b4253
,,,,b0590,,,,,b4553
,,,,b1360,,,,,b3460
,,,,b0509,,,,,b1625
,,,,b1625,,,,,b0005
,,,,b1873,,,,,b0411
,,,,b1357,,,,,b1476
,,,,b0802,,,,,b2041
,,,,b4490,,,,,b2126
,,,,b2392,,,,,b2344
,,,,b2958,,,,,b2689
,,,,b0833,,,,,b2690
,,,,b1350,,,,,b2792
,,,,b4620,,,,,b2964
,,,,b2060,,,,,b3416
,,,,b4115,,,,,b3417
,,,,b1102,,,,,b3603
,,,,b1037,,,,,b3730
,,,,b1060,,,,,b3920
,,,,b0697,,,,,b3925
,,,,b2671,,,,,b4033
,,,,b4442,,,,,b4468
,,,,b0591,,,,,b2207
,,,,b0584,,,,,b1474
,,,,b2408,,,,,b3117
,,,,b4254,,,,,b2208
,,,,b4205,,,,,b4036
,,,,b0005,,,,,b1475
,,,,b1165,,,,,b3115
,,,,b0002,,,,,b4032
,,,,b0593,,,,,b4037
,,,,b3446,,,,,b3116
,,,,b1573,,,,,b4035
,,,,b4457,,,,,b4557
,,,,b4677,,,,,b0063
,,,,b0776,,,,,b3476
,,,,b0821,,,,,b4034
,,,,b3687,,,,,b2768
,,,,b1168,,,,,b3114
,,,,b1039,,,,,b0062
,,,,b1537,,,,,b4346
,,,,b1951,,,,,b2977
,,,,b1038,,,,,b4122
,,,,b4487,,,,,b3480
,,,,b1577,,,,,b3125
,,,,b0585,,,,,b0030
,,,,b1954,,,,,b3573
,,,,b2466,,,,,b0061
,,,,b1167,,,,,b3158
,,,,b0698,,,,,b0304
,,,,b3758,,,,,b1084
,,,,,,,,,b0679
,,,,,,,,,b2471
,,,,,,,,,b1900
,,,,,,,,,b3128
,,,,,,,,,b3729
,,,,,,,,,b3249
,,,,,,,,,b1234
,,,,,,,,,b1223
,,,,,,,,,b1224
,,,,,,,,,b3365
,,,,,,,,,b3366
,,,,,,,,,b2206
,,,,,,,,,b0339
,,,,,,,,,b4071
,,,,,,,,,b1225
,,,,,,,,,b1226
,,,,,,,,,b2203
,,,,,,,,,b2205
,,,,,,,,,b4072
,,,,,,,,,b4062
,,,,,,,,,b0846
,,,,,,,,,b1977
,,,,,,,,,b4070
,,,,,,,,,b0784
,,,,,,,,,b1715
,,,,,,,,,b2659
,,,,,,,,,b1227
,,,,,,,,,b3354
,,,,,,,,,b1623
,,,,,,,,,b3873
,,,,,,,,,b3076
,,,,,,,,,b3367
,,,,,,,,,b4596
,,,,,,,,,b1221
,,,,,,,,,b0340
,,,,,,,,,b0429
,,,,,,,,,b4085
,,,,,,,,,b1071
,,,,,,,,,b2953
,,,,,,,,,b2509
,,,,,,,,,b3753
,,,,,,,,,b2683
,,,,,,,,,b2896
,,,,,,,,,b0826
,,,,,,,,,b2287
,,,,,,,,,b2823
,,,,,,,,,b3312
,,,,,,,,,b2618
,,,,,,,,,b1717
,,,,,,,,,b2285
,,,,,,,,,b2094
,,,,,,,,,b4202
,,,,,,,,,b0727
,,,,,,,,,b2093
,,,,,,,,,b0208
,,,,,,,,,b0809
,,,,,,,,,b3309
,,,,,,,,,b1778
,,,,,,,,,b2279
,,,,,,,,,b1035
,,,,,,,,,b0122
,,,,,,,,,b2935
,,,,,,,,,b4216
,,,,,,,,,b3752
,,,,,,,,,b0686
,,,,,,,,,b2286
,,,,,,,,,b3750
,,,,,,,,,b2902
,,,,,,,,,b0675
,,,,,,,,,b3150
,,,,,,,,,b0598
,,,,,,,,,b1175
,,,,,,,,,b2532
,,,,,,,,,b0420
,,,,,,,,,b1467
,,,,,,,,,b2125
,,,,,,,,,b1105
,,,,,,,,,b1468
,,,,,,,,,b2442
,,,,,,,,,b2092
,,,,,,,,,b3499
,,,,,,,,,b3749
,,,,,,,,,b1222
,,,,,,,,,b0422
,,,,,,,,,b4558
,,,,,,,,,b2744
,,,,,,,,,b2284
,,,,,,,,,b3081
,,,,,,,,,b2264
,,,,,,,,,b2124
,,,,,,,,,b3031
,,,,,,,,,b2619
,,,,,,,,,b0050
,,,,,,,,,b3751
,,,,,,,,,b0655
,,,,,,,,,b3843
,,,,,,,,,b1709
,,,,,,,,,b3098
,,,,,,,,,b2276
,,,,,,,,,b1215
,,,,,,,,,b0811
,,,,,,,,,b1211
,,,,,,,,,b3091
,,,,,,,,,b3810
,,,,,,,,,b1823
,,,,,,,,,b1324
,,,,,,,,,b0810
,,,,,,,,,b2378
,,,,,,,,,b3802
,,,,,,,,,b3149
,,,,,,,,,b0688
,,,,,,,,,b2784
,,,,,,,,,b3608
,,,,,,,,,b2280
,,,,,,,,,b0159
